URL,num_posts,num_likes
scontent.xx.fbcdn.net,2,49
youtube.com,17,41
www.facebook.com/video.php,12,35
fbcdn-sphotos-*-*.akamaihd.net,1,22
cafe.daum.net,1,20
instinctmagazine.com,2,18
facebook.com/grabbarsombryter/photos,1,18
cdn.iwastesomuchtime.com,1,12
ibnlive.in.com,1,11
vimeo.com,2,9
pitchperfectmovie.com,1,7
runnersworld.com,1,4
misterrad.tumblr.com,1,4
facebook.com/NPR/photos,1,4
facebook.com/georgehtakei/photos,1,4
buzzfeed.com,4,3
facebook.com/IFeakingLoveScience/photos,1,3
ebaumsworld.com,1,3
bzfd.it,1,3
boston.barstoolsports.com,1,2
facebook.com/vibrationradio/photos,1,2
facebook.com/thebigtino/photos,1,1
cpatheatricals.org,2,1
thehairpin.com,1,1
theguardian.com,1,1
facebook.com/globe/photos,1,1
energizect.enervee.com,1,0
esquire.com,1,0
jonnegroni.com,1,0
theonion.com,1,0
smarturl.it,1,0
pbs.org,1,0
www.facebook.com/codecademy,1,0
facebook.com/humansofnewyork/photos,1,0
apps.facebook.com,2,0
themetapicture.com,1,0
